,Current,Voltage
,-3.093E-04,-0.099
,-3.092E-04,-0.098
,-3.091E-04,-0.1
,-3.09E-04,-0.1
,-3.089E-04,-0.099
,-3.088E-04,-0.101
,-3.087E-04,-0.101
,-3.086E-04,-0.102
,-3.085E-04,-0.101
,-3.084E-04,-0.098
,-3.083E-04,-0.1
,-3.082E-04,-0.101
,-3.081E-04,-0.098
,-3.08E-04,-0.1
,-3.079E-04,-0.101
,-3.078E-04,-0.099
,-3.077E-04,-0.102
,-3.076E-04,-0.099
,-3.075E-04,-0.1
,-3.074E-04,-0.101
,-3.073E-04,-0.101
,-3.072E-04,-0.1
,-3.071E-04,-0.103
,-3.07E-04,-0.099
,-3.069E-04,-0.098
,-3.068E-04,-0.1
,-3.067E-04,-0.1
,-3.066E-04,-0.103
,-3.065E-04,-0.102
,-3.064E-04,-0.1
,-3.063E-04,-0.099
,-3.062E-04,-0.102
,-3.061E-04,-0.1
,-3.06E-04,-0.103
,-3.059E-04,-0.103
,-3.058E-04,-0.1
,-3.057E-04,-0.102
,-3.056E-04,-0.102
,-3.055E-04,-0.1
,-3.054E-04,-0.103
,-3.053E-04,-0.099
,-3.052E-04,-0.1
,-3.051E-04,-0.101
,-3.05E-04,-0.101
,-3.049E-04,-0.102
,-3.048E-04,-0.1
,-3.047E-04,-0.1
,-3.046E-04,-0.102
,-3.045E-04,-0.102
,-3.044E-04,-0.1
,-3.043E-04,-0.101
,-3.042E-04,-0.098
,-3.041E-04,-0.1
,-3.04E-04,-0.102
,-3.039E-04,-0.102
,-3.038E-04,-0.102
,-3.037E-04,-0.1
,-3.036E-04,-0.103
,-3.035E-04,-0.1
,-3.034E-04,-0.102
,-3.033E-04,-0.102
,-3.032E-04,-0.101
,-3.031E-04,-0.104
,-3.03E-04,-0.102
,-3.029E-04,-0.101
,-3.028E-04,-0.102
,-3.027E-04,-0.098
,-3.026E-04,-0.102
,-3.025E-04,-0.103
,-3.024E-04,-0.101
,-3.023E-04,-0.105
,-3.022E-04,-0.102
,-3.021E-04,-0.1
,-3.02E-04,-0.103
,-3.019E-04,-0.1
,-3.018E-04,-0.099
,-3.017E-04,-0.1
,-3.016E-04,-0.105
,-3.015E-04,-0.101
,-3.014E-04,-0.104
,-3.013E-04,-0.102
,-3.012E-04,-0.1
,-3.011E-04,-0.104
,-3.01E-04,-0.102
,-3.009E-04,-0.105
,-3.008E-04,-0.104
,-3.007E-04,-0.106
,-3.006E-04,-0.105
,-3.005E-04,-0.101
,-3.004E-04,-0.104
,-3.003E-04,-0.102
,-3.002E-04,-0.103
,-3.001E-04,-0.106
,-3E-04,-0.103
,-2.999E-04,-0.104
,-2.998E-04,-0.104
,-2.997E-04,-0.106
,-2.996E-04,-0.104
,-2.995E-04,-0.104
,-2.994E-04,-0.103
,-2.993E-04,-0.104
,-2.992E-04,-0.106
,-2.991E-04,-0.104
,-2.99E-04,-0.104
,-2.989E-04,-0.106
,-2.988E-04,-0.102
,-2.987E-04,-0.104
,-2.986E-04,-0.1
,-2.985E-04,-0.104
,-2.984E-04,-0.103
,-2.983E-04,-0.105
,-2.982E-04,-0.104
,-2.981E-04,-0.104
,-2.98E-04,-0.106
,-2.979E-04,-0.104
,-2.978E-04,-0.103
,-2.977E-04,-0.106
,-2.976E-04,-0.102
,-2.975E-04,-0.103
,-2.974E-04,-0.106
,-2.973E-04,-0.103
,-2.972E-04,-0.102
,-2.971E-04,-0.103
,-2.97E-04,-0.104
,-2.969E-04,-0.104
,-2.968E-04,-0.104
,-2.967E-04,-0.103
,-2.966E-04,-0.104
,-2.965E-04,-0.103
,-2.964E-04,-0.105
,-2.963E-04,-0.107
,-2.962E-04,-0.104
,-2.961E-04,-0.102
,-2.96E-04,-0.104
,-2.959E-04,-0.103
,-2.958E-04,-0.102
,-2.957E-04,-0.102
,-2.956E-04,-0.104
,-2.955E-04,-0.104
,-2.954E-04,-0.105
,-2.953E-04,-0.106
,-2.952E-04,-0.105
,-2.951E-04,-0.102
,-2.95E-04,-0.107
,-2.949E-04,-0.106
,-2.948E-04,-0.105
,-2.947E-04,-0.104
,-2.946E-04,-0.103
,-2.945E-04,-0.105
,-2.944E-04,-0.107
,-2.943E-04,-0.107
,-2.942E-04,-0.107
,-2.941E-04,-0.108
,-2.94E-04,-0.106
,-2.939E-04,-0.105
,-2.938E-04,-0.109
,-2.937E-04,-0.105
,-2.936E-04,-0.107
,-2.935E-04,-0.107
,-2.934E-04,-0.108
,-2.933E-04,-0.107
,-2.932E-04,-0.104
,-2.931E-04,-0.106
,-2.93E-04,-0.107
,-2.929E-04,-0.107
,-2.928E-04,-0.105
,-2.927E-04,-0.106
,-2.926E-04,-0.105
,-2.925E-04,-0.106
,-2.924E-04,-0.103
,-2.923E-04,-0.106
,-2.922E-04,-0.104
,-2.921E-04,-0.108
,-2.92E-04,-0.107
,-2.919E-04,-0.107
,-2.918E-04,-0.105
,-2.917E-04,-0.107
,-2.916E-04,-0.109
,-2.915E-04,-0.106
,-2.914E-04,-0.104
,-2.913E-04,-0.104
,-2.912E-04,-0.107
